name,topic1,topic2,topic3,topic4,topic5
01_Blinding Lights,overdrive,touch,lights,night,blinded
02_Circles,turn,seasons,doomed,echoes,flame
03_The Box,nigga,gangsta,carter,cadillac,crip
04_Dont Start Now,goodbye,dancing,heartbreak,walk,away
05_Rockstar,nigga,runnin,mama,daddy,hood
06_Adore You,lipstick,rainbow,paradise,love,strawberry
07_Life Is Good,lil,nigga,tryna,bitch,virgil
08_Memories,drinks,memories,felt,cheers,feel
09_The Bones,bones,homestretch,stay,left,fall
100_Walk Em Down,nigga,cashmoneyap,shotta,gun,trap
10_Someone You Loved,help,way,numbed,hear,need
11_Say So,love,day,tell,dance,breath
12_I Hope,song,hope,babe,date,highway
13_Whats Poppin,verse,diss,migos,homies,bitch
14_Dance Monkey,dance,dancin,beg,hands,monkey
15_Savage,bitch,nigga,lil,pussy,ratchet
16_Roxanne,roxanne,lil,daddy,gram,bitches
17_Intentions,muse,perfect,bae,intentions,ovation
18_Everything I Wanted,dream,nightmare,coulda,fly,deserve
19_Roses,roses,rosé,nigga,baby,niggas
20_Watermelon Sugar,strawberries,song,watermelon,sugar,taste
21_Before You Go,wayside,feel,fell,coulda,hurting
22_Falling,love,baby,tear,callin,feel
23_10000 Hours,song,love,think,rain,dreamin
24_WAP,chungus,ban,pewdiepie,memes,karma
25_Ballin,nigga,rappers,lil,gang,stay
26_Hot Girl Bummer,emo,slogan,anthem,dropout,line
27_Blueberry Faygo,callan,lil,nigga,bitch,gucci
28_Heartless,heartless,heart,bitch,pulse,metro
29_BOP,nigga,baby,rapping,lil,album
30_Lose You To Love Me,sang,chorus,love,rose,fell
31_Good As Hell,tryna,baby,nails,hair,listen
32_Toosie Slide,thriller,thug,dance,street,slide
33_Break My Heart,goodbye,afraid,hello,love,falling
34_Chasin You,chattanooga,chasing,chase,tracks,singing
35_Savage Love Laxed  Siren Beat,lover,savage,baby,ex,angel
36_No Guidance,raw,devvon,nigga,kd,roster
37_My Oh My,bieber,mama,lil,daddy,night
38_Dynamite,song,disco,sing,stars,dynamite
39_Go Crazy,baby,lil,kaniel,gucci,amazin
40_High Fashion,shawty,prada,bae,ass,beat
41_Laugh Now Cry Later,nigga,rapper,drake,lil,drizzy
42_Woah,rapper,song,bitch,road,niggas
43_Death Bed,asleep,sorry,awake,happy,bed
44_Senorita,señorita,runnin,like,kiss,tequila
45_HIGHEST IN THE ROOM,runnin,room,gang,smoke,raw
46_Bad Guy,lyrics,mama,mommy,song,girlfriend
47_Mood,noob,newbie,talking,bloxy,understand
48_Rain On Me,rain,rainfall,teardrops,dry,free
49_For The Night,cashmoneyap,cash,thief,street,bitch
50_RITMO Bad Boys For Life,rhythm,toda,como,cómo,night
51_Heart On Ice,mama,heartbroken,lil,ice,broke
52_Nobody But You,usher,tiësto,kesha,duet,shuffle
53_Trampoline,dreams,dream,deep,flames,falling
54_Come  Go,chorus,verse,miley,cyrus,love
55_Truth Hurts,bitch,man,chick,boy,hair
56_If The World Was Ending,earthquake,fine,goodbye,thinkin,think
57_We Paid,nigga,lil,bitch,bruh,niggas
58_Yummy,babe,way,lady,hop,night
59_One Man Band,band,solo,sing,singing,melody
60_Got What I Got,baby,miss,girl,regrets,need
61_Sunday Best,stressed,feeling,day,sunshine,feel
62_Godzilla,lyrics,rap,gangster,monster,catchy
63_Bandit,song,nigga,molly,jiggas,bitch
64_Party Girl,party,mama,nigga,lil,baby
65_Die From A Broken Heart,mama,daddy,crying,nerve,broken
66_Popstar,whores,drizzy,dj,hoes,selena
67_All I Want For Christmas Is You,santa,christmas,mistletoe,sleigh,stocking
68_One Of Them Girls,song,girls,label,boys,tryna
69_Hard To Forget,bottle,glass,whiskey,mama,pretty
70_One Margarita,song,margarita,chesney,screamin,breakin
71_Panini,meanie,meaning,mean,demands,panini
72_Hot,diss,wheezy,bitch,highs,whorehouse
73_I Hope Youre Happy Now,goodbye,wreck,love,late,left
74_Emotionally Scarred,rap,letter,lil,nipsey,mama
75_Suicidal,suicidal,bad,ecstasy,sorry,love
76_The Bigger Picture,protesting,protests,protestors,demonstrators,outcry
77_Only Human,dance,night,leaving,room,leave
78_The Woo,bitch,nigga,gangsta,hoes,want
79_Sum 2 Prove,rap,nigga,lil,bitch,rich
80_Stuck With U,stuck,lock,stayin,stay,baby
81_Mood Swings,shorty,lil,baby,mama,daddy
82_You Should Be Sad,sorry,tears,help,breaking,broken
83_Dior,mob,nigga,traphouse,niggas,pistol
84_Supalonely,lonely,quitter,dancing,tryna,cryin
85_Even Though Im Leaving,daddy,dad,afraid,scared,goodbye
86_The Scotts,hustle,flows,gang,street,nigga
87_Juicy,booty,juicy,butt,nigga,hella
88_Be Like That,help,better,goodnight,way,friend
89_Homesick,homesick,song,singing,home,porch
90_Rags2Riches,lil,zypitano,riches,daps,faze
91_Bluebird,rhyme,rhymer,sings,turner,keeps
92_Wishing Well,lauryn,drugs,help,pills,addiction
93_Does To Me,proud,guitar,granddaddy,felt,remembered
94_Py Fairy OTW,verse,chorus,baby,way,drunk
95_ily,baby,love,warm,nights,quite
96_More Than My Hometown,mamas,hometown,town,roots,runaway
97_Lovin On You,marlboro,love,loving,hooking,hits
98_Said Sum,nigga,thuggin,bitch,lil,rappers
99_Slide,screamin,bitch,baby,goin,boy
