name,topic1,topic2,topic3,topic4,topic5
01_Heat Waves,waves,road,shimmer,faking,reflections
02_As It Was,harry,ringing,ahead,goodnight,hand
03_Stay,stay,drunk,stranded,wasted,believe
04_Easy On Me,child,river,baby,stuck,intentions
05_Shivers,singing,arrow,guitar,kissed,baby
06_First Class,dreamin,just,wait,tryna,balcony
07_Big Energy,daddy,bitch,karaoke,hood,boss
08_Ghost,youngblood,ghost,hollow,nights,love
09_Super Gremlin,rapping,superstars,nigga,lil,smackin
100_Circles Around This Town,songs,cd,singing,drove,tryna
10_Cold Heart PNAU Remix,cold,heart,lingers,sign,scent
11_Wait For U,wait,line,nigga,delivered,late
12_About Damn Time,stressed,bitch,tryna,feelin,way
13_Bad Habits,escape,nights,falling,ends,way
14_Thats What I Want,lonely,night,love,need,want
15_Enemy,enemy,misery,sympathy,songs,panic
16_Industry Baby,song,rap,album,nas,grammys
17_abcdefu,bitch,tryna,art,dog,worst
18_Need To Know,song,baby,daddy,sexual,thong
19_Wasted On You,mornin,wasted,lonely,wake,listen
20_Me Porto Bonito,villain,mommy,baby,naughty,boyfriend
21_Woman,woman,lady,robyn,feminine,princess
22_Titi Me Pregunto,girlfriend,girlfriends,wedding,maria,sofias
23_Running Up That Hill A Deal With God,hurt,feel,angel,feels,hear
24_We Dont Talk About Bruno,bruno,prophecy,wedding,prophecies,muttering
25_Late Night Talking,happier,baby,help,babe,haze
26_I Like You A Happier Song,girl,lil,nigga,celine,boyfriend
27_You Proof,whiskey,sippin,buzzin,pouring,liquors
28_Bad Habit,gemini,babe,dear,knew,know
29_Sunroof,freeway,tunes,sunroof,stuck,dancing
30_One Right Now,baby,dad,hermès,fucked,love
31_Good 4 U,happy,emotional,therapist,girl,baby
32_Numb Little Bug,numb,cope,care,tired,happy
33_Jimmy Cooks,nigga,lil,shaken,awaken,jumpin
34_Til You Cant,love,mama,hold,like,man
35_Fancy Like,bangin,dancin,fancy,baby,girl
36_The Kind Of Love We Make,song,burning,night,way,baby
37_I Aint Worried,worried,gold,scared,just,zeros
38_Break My Soul,explode,release,break,wiggle,bey
39_Something In The Orange,orange,dusk,night,poisoned,sun
40_Save Your Tears,teardrop,tears,boy,pisces,girl
41_Smokin Out The Window,bitch,tiffany,help,love,baby
42_Levitating,moonlight,starlight,levitating,galaxy,sugarboo
43_In A Minute,gangster,hustle,nigga,alley,kai
44_Moscow Mule,whatsapp,tell,baby,mommy,talk
45_You Right,got,sheets,tryna,guy,babe
46_She Had Me At Heads Carolina,song,carolina,karaoke,verse,singin
47_Vegas,hound,dog,bitch,playin,meanin
48_Pushin P,pushin,pushing,tussling,nigga,bitch
49_Buy Dirt,cents,money,yard,dollar,prayers
50_I Hate U,bout,baby,niggas,mean,bored
51_Boyfriend,boyfriend,dancing,night,gentleman,believe
52_Glimpse Of Us,rainbow,sight,glimpse,maybe,lonely
53_Surface Pressure,pressure,crust,indestructible,burden,worry
54_Fall In Love,song,mama,roses,smoke,goodbye
55_Love Nwantiti Ah Ah Ah,obsessed,valentine,lover,baby,tu
56_Super Freaky Girl,nigga,bitch,girl,freak,pussy
57_Hrs And Hrs,flower,girl,promise,love,sing
58_Sand In My Boots,tennessee,silverado,knoxville,bout,tequila
59_MAMIII,toxic,daddy,leave,mami,sorry
60_Knife Talk,gang,rapper,nigga,punk,niggas
61_AA,song,jack,tryna,mama,john
62_Sweetest Pie,sweetest,pie,baby,nasty,flavour
63_Provenza,reggaeton,baby,tense,wrote,free
64_Essence,cuando,para,como,amor,puedo
65_All I Want For Christmas Is You,santa,christmas,mistletoe,sleigh,stocking
66_Bam Bam,ocean,wave,dancing,baby,love
67_5 Foot 9,whiskey,jack,truck,mcgraw,music
68_Get Into It Yuh,sheeran,bitch,tryna,ay,drip
69_Efecto,song,drug,baby,hey,coincidence
70_Rock And A Hard Place,fixin,rock,breaks,ring,broke
71_Doin This,singing,interview,band,burning,living
72_Oh My God,teetering,trouble,spinning,jumping,lord
73_Better Days,song,sing,hurting,soothing,cryin
74_Meet Me At Our Spot,hypnotized,drunk,asleep,night,baby
75_Fingers Crossed,songs,daddy,cried,listened,tryna
76_All Too Well Taylors Version,album,fine,scarf,remember,reminds
77_Party,cuando,como,estoy,gusta,estas
78_Despues de La Playa,beach,baby,sea,drunk,surfboard
79_You Should Probably Leave,alright,kiss,leave,stay,baby
80_Rockin Around The Christmas Tree,caroling,mistletoe,rocking,christmas,dancing
81_Broadway Girls,rap,broadway,girl,girls,da
82_Take My Name,waitin,wait,taking,baby,hold
83_What Happened To Virgil,banger,flocka,nigga,dj,lil
84_Puffin On Zootiez,nigga,fly,lil,flying,way
85_Like I Love Country Music,songs,coochie,hoochie,album,baby
86_Jingle Bell Rock,jingle,jingling,sleigh,dancing,hop
87_Ojitos Lindos,love,kisses,goodbye,caressing,pretty
88_Trouble With A Heartbreak,heartbreak,trouble,road,rearview,bout
89_A Holly Jolly Christmas,mistletoe,christmas,ding,jolly,holly
90_Kiss Me More,kiss,kissing,lips,lip,cuddle
91_She Likes It,kissing,mmm,like,tequila,likes
92_Never Say Never,baby,momma,drama,uncontrollable,unstoppable
93_Damn Strait,song,songs,sang,strait,marina
94_Shes All I Wanna Be,boy,girl,worry,shе,want
95_Last Night Lonely,night,lonely,makin,bar,girl
96_Flower Shops,roses,flower,daisies,violets,thorns
97_To The Moon,moon,baby,tryna,girl,doo
98_Unholy,daddy,baby,drama,rihanna,boy
99_One Mississippi,mississippi,tipsy,kissin,bar,night
