name,topic1,topic2,topic3,topic4,topic5
01_Old Town Road,road,ride,riding,rodeo,horse
02_Sunflower,wreck,sunflower,baby,stuck,crash
03_Without Me,baby,lonely,love,high,cup
04_Bad Guy,lyrics,mama,song,mommy,girlfriend
05_Wow,lil,dre,grinnin,pullin,stoney
06_Happier,happier,thoughts,okay,morning,spirits
07_Seven Rings,tiffany,riches,tattoos,diamonds,baby
08_Talk,sure,talk,far,room,going
09_Sicko Mode,lockdown,bout,bonnaroo,belt,like
100_Robbery,hennessy,gucci,man,slur,boy
10_Sucker,sucker,subliminal,baby,tattoo,road
11_High Hopes,hopes,destiny,prophecy,mama,rise
12_Thank U Next,song,songs,thanking,ricky,thankful
13_Truth Hurts,bitch,man,chick,hair,salon
14_Dancing With A Stranger,dancing,baby,stranger,tonight,somebody
15_Senorita,señorita,like,kiss,tequila,love
16_I Dont Care,baby,party,dance,anxiety,stay
17_Eastside,backstreets,baby,singing,love,kiss
18_Going Bad,drizzy,lil,wheezy,dawg,rambo
19_Shallow,deep,dive,falling,shallow,sha
20_Better,better,sober,drunk,high,night
21_No Guidance,raw,devvon,kd,nigga,roster
22_Girls Like You,backstreet,lovato,timberlake,aguilera,christina
23_Sweet But Psycho,psycho,poison,sugarcoat,screaming,potions
24_Suge,gangster,nigga,bitch,fool,groupie
25_Middle Child,rapper,rap,jigga,drizzy,lil
26_Drip Too Hard,nigga,lil,niggas,drip,line
27_Someone You Loved,help,hear,numbed,way,need
28_Ranom,miner,noobies,minesom,stronghold,mobs
29_If I Cant Have You,song,texts,trying,distance,sorry
30_Goodbyes,kurt,nicki,goodbyes,cut,minaj
31_ZEZE,nigga,stripes,niggas,mansion,streets
32_Better Now,better,jonas,woulda,knew,okay
33_Youngblood,youngblood,baby,beat,goodbye,love
34_Money In The Grave,lil,nigga,cc,niggas,homies
35_Speechless,baby,daze,perfume,room,nervous
36_Break Up With Your Girlfriend Im Bored,girlfriend,songs,just,bored,singing
37_Please Me,baby,twerk,tease,twerking,booty
38_Money,nigga,lil,flow,da,cash
39_You Need To Calm Down,calm,patrón,stop,shade,somebody
40_Panini,meanie,daytrip,panini,mean,demands
41_Look Back At It,da,nigga,drrrat,melody,girl
42_A Lot,rap,album,rappers,nigga,rapping
43_ME,promise,baby,doll,lover,girl
44_MIA,romeo,baby,sing,bunny,spiral
45_Pop Out,gang,killers,nigga,lil,killer
46_Beautiful Crazy,wild,crazy,unforgettable,dances,unpredictable
47_Thotiana,nigga,gang,thotiana,blueface,beat
48_Lucid Dreams,heartbreak,grave,enviyon,okay,listened
49_Mo Bamba,drake,nigga,niggas,bitch,drug
50_Beautiful People,conversation,surrounded,fashion,party,dear
51_Wake Up In The Sky,fly,gucci,lil,flying,yo
52_Whiskey Glasses,whiskey,karaoke,heartbreak,drunk,drinks
53_Gods Country,dixie,country,georgia,church,road
54_Be Alright,teary,messages,betrayal,okay,alright
55_Pure Water,rap,nigga,lil,gang,bitch
56_The Git Up,boogie,slide,roll,hoedown,spin
57_Taki Taki,pantiesito,punani,taki,pasito,trabaje
58_CloseToMe,trouble,animal,undercover,bitch,jungle
59_Envy Me,nigga,gang,lil,niggas,mob
60_You Say,strong,weak,believe,voices,measure
61_Hey Look Ma I Made It,hooker,sequel,faithless,cathedral,songs
62_Circles,turn,seasons,doomed,bad,flame
63_Beer Never Broke My Heart,guitar,longneck,bass,line,count
64_The London,verse,rappers,nigga,pimp,like
65_ConCalma,shawn,dj,afterparty,rock,mommy
66_Murder On My Mind,homicide,nigga,murder,murderer,mama
67_When The Partys Over,goodbyes,friend,bleeding,quiet,lie
68_Act Up,nigga,gucci,bitch,lil,ass
69_I Like It,cardi,like,gucci,yo,baby
70_Trampoline,dreams,flames,dream,falling,deep
71_Leave Me Alone,lil,bitch,miss,like,nah
72_Breathin,breathing,falling,air,medicate,lacigam
73_Bury A Friend,billie,killing,hatchet,bury,scared
74_Close Friends,beyoncé,baby,girlfriend,turbo,promise
75_Baby Shark,shark,hunt,daddy,baby,mommy
76_My Type,hennessy,nigga,tycoon,pipe,hoes
77_Worth It,kiwi,baby,try,nah,love
78_Only Human,dance,night,leaving,leave,room
79_Knockin Boots,needs,backseats,truck,songs,wheels
80_Trip,tripping,trip,tripped,safety,love
81_Rumor,rumor,song,town,baby,boys
82_Swervin,rap,song,london,swerving,bleedin
83_How Do You Sleep,desperate,stay,crying,baby,awake
84_Baby,rapper,diddy,nigga,wheezy,niggas
85_Look What God Gave Her,song,angel,singing,heavens,angels
86_Good As You,mama,babe,loving,baby,love
87_Clout,mixtape,streets,nigga,bitch,niggas
88_Love Lies,lover,baby,vibe,listen,sunrise
89_One Thing Right,mama,mamas,troubles,runnin,baby
90_Cash Shit,pimp,lil,gucci,bitch,ghetto
91_Tequila,tequila,drunk,baby,whiskey,sorority
92_Shotta Flow,nigga,jiggas,gang,shotta,lil
93_Hot Girl Summer,nigga,bitch,yo,superstar,bone
94_Talk You Out Of It,song,baby,line,vandross,fine
95_Beautiful,angel,gucci,baby,amazing,beautiful
96_Eyes On You,paradise,babe,baby,miss,montana
97_All To Myself,song,jealous,baby,girl,mmmm
98_Boyfriend,girlfriend,boyfriend,kiss,baby,complicated
99_Walk Me Home,night,darling,roll,going,way
