name,topic1,topic2,topic3,topic4,topic5
01_Gods Plan,trouble,wishin,wishing,tryna,die
02_Perfect,song,love,darlin,beautiful,angel
03_Meant To Be,baby,sing,ride,boy,love
04_Havana,havana,jeffery,babe,jam,bout
05_Rockstar,groupie,tank,band,homies,shottas
06_Psycho,mama,lil,yo,bitch,homies
07_I Like It,cardi,like,gucci,yo,gang
08_The Middle,kitchen,mess,stairs,cabinets,dishes
09_In My Feelings,trapmoneybenny,drake,rap,trap,ex
100_Believer,poems,believer,heartache,pain,spirit
10_Girls Like You,babe,girl,girls,nights,weekend
11_Nice For What,song,weezyana,lil,niggas,shorty
12_Lucid Dreams,heartbreak,grave,listened,okay,enviyon
13_Better Now,better,woulda,jonas,tryna,knew
14_Finesse,timberlake,remix,lil,homie,stuntin
15_Bood Up,anxiety,baby,love,feeling,feelings
16_New Rules,count,repeat,drunk,rules,tryna
17_Sad,afraid,suicide,lonely,love,sad
18_Never Be The Same,heroin,overdose,veins,blood,morphine
19_Love Lies,lover,baby,listen,vibe,tell
20_No Tears Left To Cry,livin,lovin,turning,hey,coming
21_Mine,mariah,hennessy,bride,precious,yeah
22_Thunder,thunder,lightning,dreams,dreaming,star
23_Look Alive,drake,nigga,blocboy,drizzy,niggas
24_Delicate,delicate,babe,ai,like,best
25_Yes Indeed,weezy,lil,drake,wheezy,amazin
26_Friends,love,lover,crazy,say,just
27_Bad At Love,love,bad,boy,afraid,mistakes
28_Taste,nigga,drake,gang,gucci,gangland
29_Let You Down,apology,listen,sorry,letdown,mood
30_No Limit,nigga,droppin,eazy,album,homie
31_FEFE,beyoncé,verse,nigga,minaj,queens
32_Tequila,tequila,drunk,baby,sorority,party
33_Feel It Still,rebel,fallen,kick,kicks,goodbye
34_MotorSport,rap,like,nigga,yo,britney
35_I Like Me Better,love,babe,york,room,feelin
36_Youngblood,youngblood,baby,love,beat,goodbye
37_Whatever It Takes,whip,prodigal,adrenaline,tripping,chains
38_Ric Flair Drip,nigga,gang,ric,boomin,tryna
39_I Fall Apart,scars,help,whore,flowin,cut
40_Pray For Me,rapture,war,hero,kill,god
41_Back To You,replaying,stuck,regret,know,cold
42_Sicko Mode,lockdown,tryna,bout,like,bitch
43_Walk It Talk It,gang,nigga,walkie,like,chain
44_Gucci Gang,gang,lil,gucci,bitch,slanging
45_Him  I,cross,bonnie,love,heart,lover
46_In My Blood,help,anxious,overwhelmed,feeling,walls
47_All The Stars,momma,night,haunt,love,know
48_Stir Fry,whip,trap,nigga,wroof,tryna
49_Too Good At Goodbyes,goodbyes,tears,heartless,mean,baby
50_Love,love,lust,yo,jammin,homie
51_This Is America,guerilla,police,dancin,america,contraband
52_Nonstop,rap,drizzy,dre,nigga,niggas
53_Heaven,angel,heaven,kiss,perfect,beautiful
54_Bodak Yellow Money Moves,lil,gucci,broke,like,dance
55_Freaky Friday,kanye,lil,nigga,breezy,dicky
56_Gummo,nigga,gang,niggas,drum,bitch
57_Plug Walk,plug,nigga,lil,gucci,thelabcook
58_Wait,apologize,beggin,begging,mother,occasion
59_Be Careful,nigga,bitch,baby,care,threat
60_Wolves,darkest,dark,jungle,way,divine
61_Bartier Cardi,cardi,chorus,drake,verse,bitch
62_God Is A Woman,blessed,touch,baby,boy,confess
63_Big Bank,rap,lil,niggas,bitch,white
64_Sorry Not Sorry,revenge,payback,baddest,savage,bitch
65_How Long,baby,admit,boy,promise,apologies
66_Lights Down Low,angel,moonlight,lights,baby,halo
67_Young Dumb  Broke,commitment,love,broke,high,yadadadadadadada
68_One Kiss,kiss,love,like,wonderland,way
69_Natural,line,dark,blood,edge,stone
70_You Make It Easy,songs,babe,grace,angel,loving
71_Shape Of You,date,bar,lover,club,room
72_I Get The Bag,rap,nigga,lil,gucci,freezin
73_No Brainer,dj,music,dancing,justin,quavo
74_Plain Jane,rap,nigga,rappers,ferg,yo
75_Sky Walker,flowin,splish,like,gang,street
76_Marry Me,marry,magnolias,married,daddy,best
77_Eastside,backstreets,love,baby,kiss,singing
78_Call Out My Name,baby,babe,love,lied,kiss
79_Kings Dead,diss,lil,nigga,gang,queen
80_Happier,happier,thoughts,flame,okay,morning
81_Te Bote,remix,boy,baby,dio,wo
82_Simple,simple,like,love,jam,paradise
83_Lemon,nigga,niggas,race,rihanna,hate
84_18002738255,chorus,drake,verse,outro,sabrina
85_Say Something,melody,help,harmony,rhythm,transgressions
86_Im Upset,nigga,upset,tryna,dying,niggas
87_Get Along,lovers,song,love,billboard,road
88_Moonlight,spotlight,shawty,moonlight,nigga,like
89_What Lovers Do,baby,lovers,mama,love,tell
90_X,baby,mommy,nicky,tell,stop
91_Outside Today,beefin,drippin,homie,callin,gang
92_Trip,trippin,tryna,tripping,tripped,trip
93_Dura,reggae,mamacita,daddy,tá,buenos
94_Changes,changing,embed,baby,heart,damage
95_Mercy,mercy,heart,just,break,gon
96_One Number Away,dial,stuck,calling,number,lines
97_Powerglide,yo,wonderland,hella,jam,lil
98_IDGAF,goodbye,songs,boy,cut,friend
99_Mi Gente,rhythm,beyonce,dance,disco,dancing
